DEPREG,MUPREG,MESREG,AÑOREG,DIAOCU,MESOCU,DEPOCU,MUPOCU,EDADHOM,EDADMUJ,GETHOM,GETMUJ,NACHOM,NACMUJ,ESCHOM,ESCMUJ,OCUHOM,OCUMUJ
Quetzaltenango,Ostuncalco,Abril,2013.0,19.0,Diciembre,Quetzaltenango,Quetzaltenango,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado
Escuintla,Tiquisate,Marzo,2012.0,31.0,Enero,Suchitepequez,Mazatenango,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado
Escuintla,Tiquisate,Noviembre,2012.0,11.0,Octubre,Suchitepequez,Mazatenango,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado
Suchitepequez,Mazatenango,Marzo,2013.0,14.0,Agosto,Suchitepequez,Mazatenango,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado
Suchitepequez,Mazatenango,Mayo,2012.0,6.0,Marzo,Suchitepequez,Mazatenango,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado
Escuintla,La Gomera,Noviembre,2012.0,26.0,Julio,Retalhuleu,Retalhuleu,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado
Quetzaltenango,El Palmar,Mayo,2012.0,14.0,Febrero,Retalhuleu,Retalhuleu,Ignorado,44.0,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado
Quetzaltenango,El Palmar,Agosto,2012.0,17.0,Febrero,Retalhuleu,Retalhuleu,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado
Retalhuleu,Retalhuleu,Febrero,2013.0,6.0,Septiembre,Retalhuleu,Retalhuleu,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado
Retalhuleu,Retalhuleu,Febrero,2013.0,26.0,Diciembre,Retalhuleu,Retalhuleu,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado
Retalhuleu,Retalhuleu,Marzo,2012.0,9.0,Enero,Retalhuleu,Retalhuleu,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado
Retalhuleu,Retalhuleu,Marzo,2012.0,16.0,Enero,Retalhuleu,Retalhuleu,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado
Retalhuleu,Retalhuleu,Marzo,2013.0,19.0,Noviembre,Retalhuleu,Retalhuleu,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado
Retalhuleu,Retalhuleu,Junio,2012.0,2.0,Mayo,Retalhuleu,Retalhuleu,Ignorado,23.0,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado
Retalhuleu,Retalhuleu,Noviembre,2012.0,10.0,Septiembre,Retalhuleu,Retalhuleu,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado
Retalhuleu,San Felipe,Diciembre,2012.0,9.0,Noviembre,Retalhuleu,Retalhuleu,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado
Huehuetenango,Huehuetenango,Marzo,2013.0,3.0,Diciembre,Huehuetenango,Huehuetenango,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado
Huehuetenango,Huehuetenango,Mayo,2012.0,13.0,Abril,Huehuetenango,Huehuetenango,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado
Huehuetenango,Huehuetenango,Julio,2012.0,20.0,Junio,Huehuetenango,Huehuetenango,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado
Huehuetenango,Huehuetenango,Agosto,2012.0,10.0,Julio,Huehuetenango,Huehuetenango,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado
Quiche,Santa Cruz del Quiché,Noviembre,2012.0,16.0,Noviembre,Quiche,Santa Cruz del Quiché,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado
Baja Verapaz,Salamá,Noviembre,2012.0,5.0,Octubre,Baja Verapaz,Salamá,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado
Baja Verapaz,Rabinal,Marzo,2012.0,19.0,Enero,Baja Verapaz,Salamá,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado
Baja Verapaz,Rabinal,Septiembre,2012.0,6.0,Junio,Baja Verapaz,Salamá,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado
Baja Verapaz,Rabinal,Diciembre,2012.0,12.0,Noviembre,Baja Verapaz,Salamá,Ignorado,Ignorado,Ignorado,Indigena,Guatemala,Guatemala,Ignorado,Ninguna,Ignorado,Ignorado
Alta Verapaz,Cobán,Abril,2013.0,17.0,Octubre,Alta Verapaz,Cobán,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado
Alta Verapaz,Cobán,Junio,2012.0,24.0,Abril,Alta Verapaz,Cobán,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ninguna,Ignorado,Ignorado
Alta Verapaz,Tucurú,Noviembre,2012.0,2.0,Mayo,Alta Verapaz,Cobán,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado
Alta Verapaz,San Pedro Carchá,Enero,2013.0,6.0,Marzo,Alta Verapaz,Cobán,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado
Izabal,El Estor,Julio,2012.0,6.0,Julio,Izabal,Puerto Barrios,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado
Izabal,El Estor,Diciembre,2012.0,13.0,Agosto,Izabal,Puerto Barrios,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado
Izabal,Morales,Marzo,2012.0,5.0,Marzo,Izabal,Puerto Barrios,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado
Izabal,Morales,Noviembre,2012.0,27.0,Agosto,Izabal,Puerto Barrios,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado
Izabal,Morales,Diciembre,2012.0,16.0,Octubre,Izabal,Puerto Barrios,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado
Zacapa,Zacapa,Enero,2013.0,5.0,Diciembre,Zacapa,Zacapa,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Cuba,Ignorado,Ignorado,Ignorado,Ignorado
Zacapa,Zacapa,Mayo,2012.0,3.0,Abril,Zacapa,Zacapa,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado
Zacapa,Zacapa,Mayo,2012.0,9.0,Mayo,Zacapa,Zacapa,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado
Zacapa,Estanzuela,Enero,2013.0,22.0,Noviembre,Zacapa,Zacapa,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado
Zacapa,Estanzuela,Marzo,2012.0,23.0,Febrero,Zacapa,Zacapa,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado
Zacapa,Estanzuela,Abril,2012.0,13.0,Febrero,Zacapa,Zacapa,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado
Zacapa,Estanzuela,Octubre,2012.0,2.0,Julio,Zacapa,Zacapa,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado
Zacapa,Estanzuela,Octubre,2012.0,26.0,Septiembre,Zacapa,Zacapa,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado
Zacapa,Gualán,Mayo,2012.0,25.0,Abril,Zacapa,Zacapa,Ignorado,51.0,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado
Zacapa,Gualán,Octubre,2012.0,10.0,Agosto,Zacapa,Zacapa,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado
Zacapa,Teculután,Julio,2012.0,9.0,Abril,Zacapa,Zacapa,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado
Chiquimula,Esquipulas,Mayo,2012.0,13.0,Febrero,Chiquimula,Chiquimula,Ignorado,Ignorado,Ignorado,No indigena,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado
Jalapa,San Pedro Pinula,Septiembre,2012.0,27.0,Julio,Jalapa,Jalapa,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado
Jutiapa,Jutiapa,Mayo,2012.0,27.0,Abril,Jutiapa,Jutiapa,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado
Chiquimula,Esquipulas,Abril,2012.0,1.0,Marzo,Jutiapa,Jutiapa,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado
Jutiapa,Jutiapa,Mayo,2012.0,11.0,Abril,Jutiapa,Jutiapa,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado
Jutiapa,Jutiapa,Septiembre,2012.0,29.0,Agosto,Jutiapa,Jutiapa,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado
Jutiapa,Jutiapa,Octubre,2012.0,21.0,Septiembre,Jutiapa,Jutiapa,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado
Jutiapa,Santa Catarina Mita,Enero,2013.0,15.0,Noviembre,Jutiapa,Jutiapa,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado
Jutiapa,Quesada,Febrero,2013.0,9.0,Marzo,Jutiapa,Jutiapa,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado
Escuintla,Tiquisate,Noviembre,2012.0,17.0,Septiembre,Escuintla,Santa Lucía Cotzumalguapa,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ninguna,Ignorado,Ignorado
Escuintla,La Gomera,Marzo,2013.0,30.0,Octubre,Escuintla,Santa Lucía Cotzumalguapa,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado
Baja Verapaz,Cubulco,Julio,2012.0,30.0,Abril,Baja Verapaz,Cubulco,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado
Suchitepequez,Santo Domingo Suchitepéquez,Julio,2012.0,31.0,Mayo,Suchitepequez,Santo Domingo Suchitepéquez,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado
Izabal,Livingston,Octubre,2012.0,9.0,Julio,Guatemala,Mixco,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado
Peten,San Luis,Mayo,2012.0,27.0,Abril,Peten,San Luis,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado
Peten,Flores,Mayo,2012.0,15.0,Febrero,Peten,Poptún,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado
Peten,San Luis,Abril,2012.0,12.0,Marzo,Peten,Poptún,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado
Izabal,El Estor,Junio,2012.0,15.0,Febrero,Peten,Poptún,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado
Jutiapa,Jalpatagua,Junio,2013.0,27.0,Noviembre,Jutiapa,Jalpatagua,Ignorado,Ignorado,No indigena,No indigena,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado
Guatemala,Villa Nueva,Octubre,2012.0,7.0,Agosto,Guatemala,Villa Nueva,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado
Guatemala,Villa Canales,Abril,2013.0,27.0,Agosto,Guatemala,Villa Nueva,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado
Chimaltenango,Chimaltenango,Septiembre,2012.0,23.0,Julio,Guatemala,Villa Nueva,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado
San Marcos,Malacatán,Enero,2013.0,4.0,Diciembre,San Marcos,Malacatán,Ignorado,33.0,Ignorado,No indigena,Guatemala,Guatemala,Ignorado,Primaria,Ignorado,Ignorado
San Marcos,Malacatán,Agosto,2012.0,18.0,Junio,San Marcos,Malacatán,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado
San Marcos,Malacatán,Octubre,2012.0,15.0,Agosto,San Marcos,Malacatán,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado
San Marcos,Malacatán,Octubre,2012.0,20.0,Marzo,San Marcos,Malacatán,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado
San Marcos,Malacatán,Diciembre,2012.0,7.0,Noviembre,San Marcos,Malacatán,Ignorado,Ignorado,No indigena,No indigena,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado
Guatemala,Villa Canales,Marzo,2012.0,15.0,Febrero,Guatemala,Villa Canales,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado
Guatemala,Villa Canales,Agosto,2012.0,18.0,Julio,Guatemala,Villa Canales,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado
Guatemala,Villa Canales,Septiembre,2012.0,25.0,Julio,Guatemala,Villa Canales,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado
San Marcos,San Pablo,Marzo,2013.0,12.0,Octubre,San Marcos,San Pablo,Ignorado,29.0,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado
Quetzaltenango,Coatepeque,Marzo,2012.0,30.0,Enero,Quetzaltenango,Coatepeque,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado
Quetzaltenango,Coatepeque,Octubre,2012.0,25.0,Septiembre,Quetzaltenango,Coatepeque,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado
Retalhuleu,Retalhuleu,Marzo,2013.0,28.0,Diciembre,Quetzaltenango,Coatepeque,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado
San Marcos,Nuevo Progreso,Diciembre,2012.0,21.0,Agosto,Quetzaltenango,Coatepeque,Ignorado,42.0,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado
San Marcos,San Cristóbal Cucho,Noviembre,2012.0,2.0,Octubre,San Marcos,San Cristóbal Cucho,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado
Santa Rosa,Chiquimulilla,Febrero,2012.0,23.0,Enero,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado
Sacatepequez,San Bartolomé Milpas Altas,Septiembre,2012.0,24.0,Agosto,Sacatepequez,Antigua Guatemala,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado
Guatemala,San Pedro Ayampuc,Enero,2013.0,27.0,Diciembre,Guatemala,Guatemala,25.0,24.0,Ignorado,No indigena,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado
Zacapa,Río Hondo,Enero,2013.0,8.0,Octubre,Zacapa,Zacapa,25.0,24.0,No indigena,No indigena,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado
Zacapa,Teculután,Agosto,2012.0,18.0,Junio,Zacapa,Zacapa,36.0,33.0,No indigena,No indigena,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado
Guatemala,Guatemala,Enero,2013.0,20.0,Noviembre,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado
Guatemala,Guatemala,Enero,2013.0,25.0,Octubre,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado
Guatemala,Guatemala,Enero,2013.0,30.0,Julio,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado
Guatemala,Guatemala,Febrero,2013.0,4.0,Diciembre,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado
Guatemala,Guatemala,Febrero,2013.0,28.0,Agosto,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado
Guatemala,Guatemala,Marzo,2012.0,27.0,Enero,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado
Guatemala,Guatemala,Marzo,2013.0,16.0,Noviembre,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado
Guatemala,Guatemala,Marzo,2013.0,30.0,Octubre,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado
Guatemala,Guatemala,Marzo,2013.0,30.0,Noviembre,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado
Guatemala,Guatemala,Junio,2012.0,18.0,Abril,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado
Guatemala,Guatemala,Junio,2012.0,20.0,Abril,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado
Guatemala,Guatemala,Julio,2012.0,15.0,Junio,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado
Guatemala,Guatemala,Julio,2012.0,24.0,Mayo,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado
Guatemala,Guatemala,Julio,2012.0,30.0,Mayo,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado
Guatemala,Guatemala,Agosto,2012.0,17.0,Julio,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado
Guatemala,Guatemala,Septiembre,2012.0,9.0,Julio,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado
Guatemala,Guatemala,Septiembre,2012.0,13.0,Julio,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado
Guatemala,Guatemala,Septiembre,2012.0,15.0,Junio,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado
Guatemala,Guatemala,Septiembre,2012.0,17.0,Julio,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado
Guatemala,Guatemala,Octubre,2012.0,13.0,Agosto,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado
Guatemala,Guatemala,Octubre,2012.0,27.0,Julio,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado
Guatemala,Guatemala,Noviembre,2012.0,24.0,Agosto,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado
Guatemala,Chinautla,Febrero,2013.0,29.0,Noviembre,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado
Guatemala,Chinautla,Julio,2012.0,25.0,Mayo,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado
Guatemala,Chinautla,Septiembre,2012.0,17.0,Agosto,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado
Guatemala,Chinautla,Septiembre,2012.0,23.0,Abril,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado
Guatemala,Chinautla,Octubre,2012.0,13.0,Septiembre,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado
Solola,San Pedro la Laguna,Agosto,2012.0,13.0,Julio,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado
El Progreso,Sansare,Mayo,2012.0,22.0,Marzo,El Progreso,Guastatoya,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado
Guatemala,Guatemala,Agosto,2012.0,10.0,Julio,Sacatepequez,Antigua Guatemala,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado
Sacatepequez,Antigua Guatemala,Septiembre,2012.0,4.0,Julio,Sacatepequez,Antigua Guatemala,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado
Sacatepequez,San Bartolomé Milpas Altas,Mayo,2012.0,6.0,Marzo,Sacatepequez,Antigua Guatemala,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado
Sacatepequez,San Bartolomé Milpas Altas,Mayo,2012.0,17.0,Abril,Sacatepequez,Antigua Guatemala,Ignorado,Ignorado,Indigena,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado
San Marcos,Catarina,Agosto,2012.0,7.0,Junio,Chimaltenango,Chimaltenango,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado
Escuintla,Escuintla,Mayo,2012.0,9.0,Enero,Escuintla,Escuintla,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado
Escuintla,Escuintla,Noviembre,2012.0,27.0,Abril,Escuintla,Escuintla,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado
Totonicapan,San Francisco el Alto,Mayo,2012.0,16.0,Abril,Totonicapan,Totonicapán,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado
Totonicapan,San Francisco el Alto,Noviembre,2012.0,30.0,Octubre,Totonicapan,Totonicapán,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado
Quetzaltenango,Quetzaltenango,Septiembre,2012.0,29.0,Junio,Quetzaltenango,Quetzaltenango,Ignorado,41.0,Ignorado,No indigena,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado
Quetzaltenango,Almolonga,Noviembre,2012.0,7.0,Septiembre,Quetzaltenango,Quetzaltenango,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado
Suchitepequez,Mazatenango,Abril,2013.0,4.0,Septiembre,Suchitepequez,Mazatenango,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado
Suchitepequez,Mazatenango,Noviembre,2012.0,4.0,Septiembre,Suchitepequez,Mazatenango,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado
Totonicapan,San Francisco el Alto,Octubre,2012.0,3.0,Octubre,Retalhuleu,Retalhuleu,Ignorado,Ignorado,Indigena,Indigena,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado
Retalhuleu,Santa Cruz Muluá,Enero,2013.0,20.0,Noviembre,Retalhuleu,Retalhuleu,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado
